51,,FAST School of Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Classes' Schedule for Semester: Fall-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A-305,AF1003 Intro to Financial Accounting,,,,,,,BSBA01A,,MG1011 Business Mathematics,,,,,,,BSBA01A,,,,,,,,,,,MG2012 Business Economics,,,,,,,FT03B,,CS2016 Programming for Business,,,,,,,BSBA03B,,CS2016 Programming for Business,,,,,,,BSBA03A
,,A-310,MG1011 Business Mathematics,,,,,,,BSBA01B,,AF1003 Intro to Financial Accounting,,,,,,,BSBA01B,,MG3012 Blockchain Technology for Business,,,,,,,FT05A,,MG3012 Blockchain Technology for Business,,,,,,,FT05B,,MG2012 Business Economics,,,,,,,FT03A,,MT2004 Business Math-II,,,,,,,FT03A
,,A-311,AF1002 Finacial Accounting,,,,,,,FT3A,,MG3003 Basic Econometrics,,,,,,,BSBA05C,,CS3003 Management Information System,,,,,,,AF05C,,,,,,,,,,,SS1013 Ideology and Constitutions of Pakistan (02:25-04:15),,,,,,,,,,,,FT03D,,,,
,,A-314,MG2003 Consumer Behaviour,,,,,,,BBA05C,,MG3014 Advanced Business Communication,,,,,,,BBA05C,,,,,,,,,,,MG1011 Business Mathematics,,,,,,,BSBA01C,,AF1003 Intro to Financial Accounting,,,,,,,BSBA01C,,MG1001 Fundamental of Management,,,,,,,BSBA01A
,,A-315,MG2009 Data Analysis for Business II,,,,,,,BSBA03C,,,,,,,,,,,,,,,,,,,,MG1002 Marketing Management,,,,,,,AF01A,,MG1002 Marketing Management,,,,,,,AF01B,,,,,,,,,
,,A-316,SS2019Psychology 8:30 - 10:20,,,,,,,,,,,AF01A,,,,,,,,,,,,,,,,,,,,,,,,,SS1022 U-Holy Quran-I&II (02:25-04:15),,,,,,,,,,BSBA03C,,,,,,
,,Auditoriam,,,,,,,,,,Seminar of Batch 25 in Auditorium,,,,,,,,,Seminar of Batch 26 in Auditorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labs,,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
,Labs,KK-I,FL1003 Introduction to Financial Accounting- Lab,,,,,,,AF01B,,FL1003 Introduction to Financial Accounting- Lab,,,,,,,AF01B,,CL2016 Programming for Business -Lab,,,,,,,BSBA03A,,CL2016 Programming for Business -Lab,,,,,,,BSBA03A,,FL1003 Introduction to Financial Accounting- Lab,,,,,,,BBA01B,,FL1003 Introduction to Financial Accounting- Lab,,,,,,,BBA01B
,,KK-II,FL1003 Introduction to Financial Accounting- Lab,,,,,,,BSBA01C,,FL1003 Introduction to Financial Accounting- Lab,,,,,,,BSBA01C,,LG2009Data Analysis for Business -II Lab,,,,,,,BSBA03B,,LG2009Data Analysis for Business -II Lab,,,,,,,BSBA03B,,FL3001 Financial Management Lab,,,,,,,BBA05C,,FL3001 Financial Management Lab,,,,,,,BBA05C
